ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_max,fiftytwo_week_min,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,security,sector,sub_industry,headquarter,date_added,cik,founded
BKNG,5170.0,1.19,60.84,0.07,2024-11-26,5212.0,3126.0,4932.0,4530.0,3910.0,71.75,99.25,1.92,0,0,5170.0,2024-11-26,5108.0,2024-11-25,1.19,5212.0,2024-11-21,4748.0,2024-11-01,8.86,5212.0,2024-11-21,3306.0,2024-08-07,48.53,5212.0,2024-11-21,6.6,2002-10-09,939.5,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1075531,1996
BKR,43.47,-0.22,-0.09,2.38,2024-11-26,44.88,28.5,41.88,38.9,34.66,64.0,1.06,2.45,0,1,43.56,2024-11-25,43.47,2024-11-26,-0.22,44.88,2024-11-21,37.84,2024-11-01,14.81,44.88,2024-11-21,28.5,2024-01-31,28.06,98.7,2007-10-16,9.33,2020-03-23,133.4,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017
BLDR,185.0,-2.1,-3.97,0.5,2024-11-26,211.1,132.6,177.9,186.1,175.8,54.72,6.42,3.47,0,0,189.0,2024-11-25,185.0,2024-11-26,-2.1,189.0,2024-11-25,172.0,2024-11-01,7.58,211.1,2024-03-21,132.6,2024-07-05,11.9,211.1,2024-03-21,0.83,2008-12-01,1057.0,Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023-12-18,1316835,1998
BLK,1023.5,-0.76,-7.87,0.38,2024-11-26,1054.0,737.0,1023.0,989.0,858.0,53.94,19.33,1.89,0,0,1031.0,2024-11-25,1023.5,2024-11-26,-0.76,1054.0,2024-11-11,985.0,2024-11-01,3.91,1054.0,2024-11-11,747.5,2024-04-18,27.9,1054.0,2024-11-11,12.81,1999-10-18,7148.0,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,2012383,1988
BMY,58.47,-0.54,-0.32,3.57,2024-11-26,59.8,39.66,56.66,54.0,48.62,60.4,1.62,2.76,0,0,58.78,2024-11-25,58.47,2024-11-26,-0.54,59.8,2024-11-11,54.12,2024-11-08,7.62,59.8,2024-11-11,39.66,2024-07-05,10.8,81.1,2022-12-02,0.94,1974-10-01,3032.0,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,14272,1989 (1887)
BR,234.1,0.37,0.87,0.24,2024-11-26,234.1,188.6,222.9,218.4,206.8,74.06,3.62,1.55,1,0,234.1,2024-11-26,233.2,2024-11-25,0.37,234.1,2024-11-26,209.6,2024-11-04,11.36,234.1,2024-11-26,190.5,2024-05-08,17.11,234.1,2024-11-26,9.72,2008-11-20,1065.0,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962
BRK-B,477.0,-0.1,-0.46,1.74,2024-11-26,478.5,352.5,464.0,460.8,430.2,63.78,6.34,1.33,0,0,477.5,2024-11-25,477.0,2024-11-26,-0.1,477.5,2024-11-25,442.2,2024-11-04,5.49,478.5,2024-09-04,359.2,2024-01-17,31.6,478.5,2024-09-04,20.1,1996-06-03,1956.0,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839
BRO,113.0,1.11,1.24,0.3,2024-11-26,113.0,69.44,109.44,106.5,94.75,65.6,1.84,1.62,0,0,113.0,2024-11-26,111.75,2024-11-25,1.11,113.0,2024-11-26,104.2,2024-11-01,8.46,113.0,2024-11-26,69.44,2024-01-03,59.7,113.0,2024-11-26,0.11,1983-12-22,63460.0,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,79282,1939
BSX,89.9,0.68,0.61,2.17,2024-11-26,91.5,54.78,87.6,86.25,76.8,59.8,1.79,2.0,0,0,89.9,2024-11-26,89.25,2024-11-25,0.68,91.5,2024-11-21,83.6,2024-11-01,7.46,91.5,2024-11-21,57.6,2024-01-03,55.38,91.5,2024-11-21,2.41,1993-10-07,1999.0,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,885725,1979
BWA,34.16,-2.9,-1.02,0.9,2024-11-26,37.72,30.16,34.2,34.53,33.62,49.34,0.96,2.81,0,0,35.2,2024-11-25,34.16,2024-11-26,-2.9,35.2,2024-11-25,33.12,2024-11-19,2.15,37.72,2024-05-09,30.16,2024-02-20,-4.95,59.3,2014-07-09,2.39,1993-09-14,1142.0,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,908255,1880
BX,191.0,-1.08,-2.08,1.45,2024-11-26,199.0,107.6,180.1,167.4,138.2,67.4,4.72,2.47,0,0,193.1,2024-11-25,191.0,2024-11-26,-1.08,199.0,2024-11-22,167.0,2024-11-04,13.62,199.0,2024-11-22,116.1,2024-05-29,48.94,199.0,2024-11-22,3.87,2009-02-26,445.0,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985
BXP,83.0,1.07,0.88,0.42,2024-11-26,89.75,55.25,80.94,82.4,69.4,56.6,2.04,2.46,0,0,83.0,2024-11-26,82.1,2024-11-25,1.07,83.0,2024-11-26,78.44,2024-11-18,4.85,89.75,2024-10-18,57.16,2024-05-29,15.12,147.5,2020-02-18,23.88,1998-09-11,210.2,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,1970
C,69.5,-1.78,-1.26,5.98,2024-11-26,70.75,44.88,67.56,64.75,61.8,59.97,1.51,2.17,0,0,70.75,2024-11-25,69.5,2024-11-26,-1.78,70.75,2024-11-25,62.34,2024-11-04,9.07,70.75,2024-11-25,51.12,2024-01-18,31.02,589.0,2000-08-28,10.2,2009-03-05,328.0,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998
CAG,27.56,0.4,0.11,2.28,2024-11-26,32.84,26.48,27.97,29.47,29.7,40.12,0.54,1.96,1,0,27.56,2024-11-26,27.45,2024-11-25,0.4,29.08,2024-11-05,26.48,2024-11-19,-4.87,32.84,2024-09-09,26.48,2024-11-19,-6.67,41.5,2017-03-15,0.44,1980-04-03,5570.0,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919
CAH,121.75,-0.06,-0.07,3.58,2024-11-25,125.3,93.75,,,,59.1,2.9,,0,0,121.75,2024-11-25,121.75,2024-11-25,0.0,125.3,2024-11-13,111.9,2024-11-04,4.86,125.3,2024-11-13,93.75,2024-07-15,18.66,125.3,2024-11-13,1.14,1987-12-03,8730.0,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971
CARR,76.75,-2.68,-2.12,2.62,2024-11-26,82.7,51.62,75.06,77.9,66.56,52.3,1.71,2.22,0,0,78.9,2024-11-25,76.75,2024-11-26,-2.68,78.9,2024-11-25,72.4,2024-11-04,5.74,82.7,2024-10-14,53.38,2024-04-18,35.97,82.7,2024-10-14,11.54,2020-03-23,539.5,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,"2020 (1915, United Technologies spinoff)"
CAT,406.5,0.21,0.87,0.94,2024-11-26,417.0,247.5,390.2,389.0,354.0,62.0,8.85,2.18,1,0,406.5,2024-11-26,405.8,2024-11-25,0.21,417.0,2024-11-06,376.5,2024-11-04,7.08,417.0,2024-11-06,278.8,2024-01-17,38.88,417.0,2024-11-06,1.23,1962-06-25,25250.0,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,18230,1925
CB,287.5,0.37,1.07,0.59,2024-11-26,302.0,218.8,283.0,287.2,268.0,54.06,4.62,1.61,1,0,287.5,2024-11-26,286.5,2024-11-25,0.37,288.8,2024-11-18,276.0,2024-11-04,3.63,302.0,2024-10-17,225.2,2024-01-10,26.45,302.0,2024-10-17,6.92,1994-11-29,2912.0,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985
CBOE,218.1,1.88,4.02,0.62,2024-11-26,218.1,167.6,206.5,207.9,191.4,66.1,4.84,2.22,1,0,218.1,2024-11-26,214.1,2024-11-25,1.88,218.1,2024-11-26,196.9,2024-11-08,3.88,218.1,2024-11-26,167.6,2024-06-14,22.42,218.1,2024-11-26,17.81,2010-09-30,665.5,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973
CBRE,140.0,0.97,1.34,1.25,2024-11-26,140.0,78.94,133.2,127.6,104.1,66.6,3.24,2.32,1,0,140.0,2024-11-26,138.8,2024-11-25,0.97,140.0,2024-11-26,129.4,2024-11-06,7.57,140.0,2024-11-26,83.3,2024-02-05,50.22,140.0,2024-11-26,2.36,2009-03-20,2190.0,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906
CCI,106.2,0.09,0.1,0.87,2024-11-26,120.25,93.06,105.25,110.06,105.75,48.4,2.04,1.92,1,0,106.2,2024-11-26,106.06,2024-11-25,0.09,108.7,2024-11-05,102.25,2024-11-12,-0.38,120.25,2024-09-16,93.06,2024-04-17,-8.95,208.8,2021-12-31,1.02,2002-08-12,717.0,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994
CCL,25.42,0.9,0.23,13.31,2024-11-26,25.42,13.9,23.94,21.45,17.38,73.94,0.74,2.9,0,0,25.42,2024-11-26,25.19,2024-11-25,0.9,25.42,2024-11-26,21.9,2024-11-01,16.06,25.42,2024-11-26,13.9,2024-04-16,47.0,71.94,2018-01-29,2.09,1987-12-03,545.5,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972
CDNS,310.5,-0.61,-1.9,0.66,2024-11-26,326.5,246.9,297.5,280.0,288.5,63.78,8.6,2.77,0,0,312.5,2024-11-25,310.5,2024-11-26,-0.61,312.5,2024-11-25,282.0,2024-11-01,10.07,326.5,2024-06-18,246.9,2024-08-05,18.1,326.5,2024-06-18,0.86,1987-12-07,15420.0,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988
CDW,178.1,-1.78,-3.23,0.83,2024-11-26,257.8,174.0,188.6,207.8,225.5,32.75,4.77,2.68,0,0,181.4,2024-11-25,178.1,2024-11-26,-1.78,202.9,2024-11-07,174.0,2024-11-19,-5.45,257.8,2024-03-27,174.0,2024-11-19,-19.3,257.8,2024-03-27,18.34,2013-07-01,869.5,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1402057,1984
CE,73.2,-4.34,-3.32,1.21,2024-11-26,171.9,72.2,89.5,114.75,138.0,19.56,3.6,4.92,0,0,76.5,2024-11-25,73.2,2024-11-26,-4.34,124.8,2024-11-01,72.2,2024-11-19,-41.38,171.9,2024-03-28,72.2,2024-11-19,-52.7,173.9,2022-01-05,7.52,2009-03-03,357.5,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,1918
CEG,262.8,5.58,13.9,2.61,2024-11-26,285.5,110.5,241.9,253.9,206.1,62.25,10.95,4.16,0,0,262.8,2024-11-26,248.9,2024-11-25,5.58,262.8,2024-11-26,224.2,2024-11-15,1.83,285.5,2024-10-04,111.44,2024-01-18,128.0,285.5,2024-10-04,41.9,2022-01-25,526.0,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999
CF,87.94,0.62,0.54,0.65,2024-11-26,90.6,69.4,85.8,85.5,79.9,56.03,2.09,2.38,0,0,87.94,2024-11-26,87.4,2024-11-25,0.62,90.6,2024-11-21,83.06,2024-11-06,4.6,90.6,2024-11-21,69.4,2024-07-08,7.74,118.4,2022-08-26,2.26,2005-10-13,2614.0,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946
CFG,48.12,-0.72,-0.35,0.99,2024-11-26,48.47,26.58,45.5,43.12,38.12,67.2,1.14,2.37,0,0,48.47,2024-11-25,48.12,2024-11-26,-0.72,48.47,2024-11-25,41.6,2024-11-04,15.04,48.47,2024-11-25,30.44,2024-02-26,43.56,56.34,2022-01-14,15.32,2020-03-18,108.44,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828
CHD,110.1,-0.26,-0.29,0.56,2024-11-26,112.25,91.4,106.8,104.4,103.9,62.44,1.95,1.77,0,1,110.44,2024-11-25,110.1,2024-11-26,-0.26,112.25,2024-11-21,102.94,2024-11-04,5.13,112.25,2024-11-21,93.9,2024-01-05,16.44,112.25,2024-11-21,0.17,1980-03-27,63600.0,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847
CHRW,106.3,-1.13,-1.21,0.73,2024-11-26,111.7,67.9,107.75,107.9,90.2,43.53,2.23,2.1,0,1,107.56,2024-11-25,106.3,2024-11-26,-1.13,111.7,2024-11-13,101.8,2024-11-01,4.43,111.7,2024-11-13,67.9,2024-04-16,22.05,119.56,2022-08-25,3.69,1998-10-08,1770.0,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905
CHTR,392.0,1.96,7.52,0.57,2024-11-26,408.0,254.6,380.5,350.0,313.0,60.78,11.63,2.97,0,0,392.0,2024-11-26,384.5,2024-11-25,1.96,408.0,2024-11-06,366.5,2024-11-01,6.96,408.0,2024-11-06,254.6,2024-04-26,0.12,821.0,2021-09-02,29.5,2010-02-25,1020.0,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993
CI,331.8,-0.39,-1.32,0.8,2024-11-26,366.8,257.5,323.2,334.2,341.8,53.38,8.28,2.5,0,0,333.0,2024-11-25,331.8,2024-11-26,-0.39,343.0,2024-11-11,312.2,2024-11-04,4.8,366.8,2024-09-16,297.8,2024-01-26,6.96,366.8,2024-09-16,3.01,1984-07-19,5612.0,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982
CINF,159.5,0.03,0.04,0.22,2024-11-26,159.5,100.7,149.0,142.1,126.3,74.1,2.77,1.74,1,0,159.5,2024-11-26,159.4,2024-11-25,0.03,159.5,2024-11-26,138.2,2024-11-04,13.37,159.5,2024-11-26,105.25,2024-01-03,50.6,159.5,2024-11-26,1.07,1980-03-28,11930.0,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950
CL,96.25,0.96,0.92,1.84,2024-11-26,108.75,76.25,93.4,97.75,95.4,55.3,1.58,1.64,1,0,96.25,2024-11-26,95.3,2024-11-25,0.96,96.25,2024-11-26,90.25,2024-11-06,3.14,108.75,2024-09-04,79.9,2024-01-03,19.25,108.75,2024-09-04,0.7,1980-03-24,4710.0,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806
CLX,167.5,0.69,1.15,0.36,2024-11-26,169.2,128.2,164.6,162.9,148.9,59.7,2.64,1.58,0,0,167.5,2024-11-26,166.4,2024-11-25,0.69,169.2,2024-11-22,162.4,2024-11-05,2.68,169.2,2024-11-22,128.2,2024-05-29,15.75,237.8,2020-08-04,0.7,1974-12-23,2928.0,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913
CMCSA,42.5,-1.61,-0.69,7.91,2024-11-26,46.72,36.9,43.3,42.12,40.44,47.28,0.92,2.16,0,1,43.2,2024-11-25,42.5,2024-11-26,-1.61,45.12,2024-11-06,42.3,2024-11-19,-2.42,46.72,2024-02-01,36.9,2024-06-18,-2.67,61.75,2021-09-02,0.08,1980-03-27,43500.0,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963
CME,232.6,1.42,3.26,1.47,2024-11-26,232.6,193.4,226.2,224.1,212.2,63.12,3.73,1.6,1,0,232.6,2024-11-26,229.4,2024-11-25,1.42,232.6,2024-11-26,221.1,2024-11-06,4.03,232.6,2024-11-26,193.4,2024-07-12,11.18,250.8,2022-03-21,8.3,2003-02-06,2612.0,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848
CMG,62.4,0.64,0.4,3.28,2024-11-26,68.56,43.78,58.97,58.62,58.06,64.6,1.46,2.34,0,0,62.4,2024-11-26,62.0,2024-11-25,0.64,62.4,2024-11-26,56.2,2024-11-05,6.49,68.56,2024-06-18,44.25,2024-01-05,38.97,68.56,2024-06-18,0.77,2008-11-20,6990.0,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993
CMI,376.2,0.24,0.89,0.15,2024-11-26,376.2,223.8,355.0,338.8,299.0,74.4,6.77,1.8,1,0,376.2,2024-11-26,375.2,2024-11-25,0.24,376.2,2024-11-26,325.5,2024-11-04,14.5,376.2,2024-11-26,229.2,2024-01-19,55.97,376.2,2024-11-26,1.47,1974-12-06,7090.0,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919
CMS,70.2,0.76,0.53,1.06,2024-11-26,72.1,55.62,68.6,69.7,63.7,58.12,1.04,1.49,1,0,70.2,2024-11-26,69.7,2024-11-25,0.76,70.2,2024-11-26,66.4,2024-11-07,2.78,72.1,2024-10-23,55.62,2024-01-24,18.56,73.56,2022-04-06,3.49,2003-03-11,140.0,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886
CNC,60.03,-2.26,-1.39,2.16,2024-11-26,80.44,57.47,60.62,66.06,72.0,43.97,1.95,3.25,0,0,61.44,2024-11-25,60.03,2024-11-26,-2.26,64.8,2024-11-05,57.47,2024-11-15,-5.48,80.44,2024-02-27,57.47,2024-11-15,-21.84,97.25,2022-08-15,1.39,2001-12-14,4088.0,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984
CNP,32.38,-0.32,-0.1,1.59,2024-11-26,32.47,25.62,30.4,29.88,28.89,70.9,0.63,1.95,0,0,32.47,2024-11-25,32.38,2024-11-26,-0.32,32.47,2024-11-25,28.58,2024-11-01,13.28,32.47,2024-11-25,25.62,2024-08-07,11.6,42.16,2001-05-01,4.5,2003-02-25,200.2,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882
COF,191.4,-0.29,-0.55,1.31,2024-11-26,191.9,108.56,179.6,164.1,146.1,68.0,4.96,2.59,0,0,191.9,2024-11-25,191.4,2024-11-26,-0.29,191.9,2024-11-25,161.2,2024-11-04,16.73,191.9,2024-11-25,124.94,2024-01-18,44.84,191.9,2024-11-25,4.67,1994-12-09,3488.0,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1994
COO,101.94,-0.45,-0.46,0.56,2024-11-26,111.25,82.9,102.44,105.56,97.8,46.03,2.07,2.03,0,0,102.4,2024-11-25,101.94,2024-11-26,-0.45,105.9,2024-11-01,99.06,2024-11-19,-3.69,111.25,2024-09-16,85.5,2024-07-03,9.3,114.0,2021-09-03,0.12,1993-07-20,1194.0,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958
COP,106.6,0.5,0.53,5.25,2024-11-26,133.5,102.3,110.25,108.9,114.4,41.34,2.6,2.43,0,0,106.6,2024-11-26,106.1,2024-11-25,0.5,113.75,2024-11-18,106.1,2024-11-25,-1.12,133.5,2024-04-05,102.3,2024-09-26,-9.32,135.0,2022-11-07,3.02,1982-08-18,1972.0,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002
COR,246.9,1.11,2.7,0.36,2024-11-26,250.0,199.5,241.6,233.5,233.5,61.16,4.26,1.73,0,0,246.9,2024-11-26,244.2,2024-11-25,1.11,250.0,2024-11-13,233.9,2024-11-04,5.4,250.0,2024-11-13,208.5,2024-01-02,18.4,250.0,2024-11-13,2.5,1995-08-10,8264.0,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985
COST,968.5,0.77,7.44,0.78,2024-11-26,968.5,588.0,919.5,903.5,827.0,69.75,17.45,1.8,0,0,968.5,2024-11-26,961.0,2024-11-25,0.77,968.5,2024-11-26,877.5,2024-11-01,10.37,968.5,2024-11-26,644.5,2024-01-03,48.84,968.5,2024-11-26,6.03,1987-12-04,8700.0,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976
CPAY,380.8,-0.23,-0.87,0.13,2024-11-26,381.5,235.1,358.0,341.2,300.8,72.2,7.9,2.08,0,0,381.5,2024-11-25,380.8,2024-11-26,-0.23,381.5,2024-11-25,329.8,2024-11-04,15.42,381.5,2024-11-25,249.6,2024-06-14,35.2,381.5,2024-11-25,25.25,2011-08-22,1297.0,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454,2000
CPB,45.94,1.41,0.64,3.12,2024-11-25,51.88,39.75,,,,52.38,0.91,,0,0,45.94,2024-11-25,45.94,2024-11-25,0.0,46.75,2024-11-05,43.16,2024-11-15,-0.86,51.88,2024-09-06,40.9,2024-02-14,2.66,67.56,2016-07-06,1.42,1974-09-16,2126.0,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869
CPRT,64.0,0.44,0.28,1.52,2024-11-26,64.0,46.56,56.28,54.34,53.7,79.8,1.36,2.12,1,0,64.0,2024-11-26,63.75,2024-11-25,0.44,64.0,2024-11-26,51.5,2024-11-01,24.34,64.0,2024-11-26,46.56,2024-01-05,34.78,64.0,2024-11-26,0.11,1996-12-10,41920.0,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982
CPT,125.5,1.29,1.6,0.37,2024-11-26,126.9,89.4,119.94,120.94,110.44,64.2,2.28,1.82,1,0,125.5,2024-11-26,123.94,2024-11-25,1.29,125.5,2024-11-26,113.75,2024-11-01,10.36,126.9,2024-09-23,91.9,2024-02-13,25.05,178.6,2021-12-31,17.56,2009-03-02,445.8,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,906345,1981
CRL,197.4,-1.97,-3.96,0.2,2024-11-26,273.5,178.6,195.9,194.8,218.8,51.44,7.79,3.95,0,0,201.2,2024-11-25,197.4,2024-11-26,-1.97,220.8,2024-11-11,181.0,2024-11-01,9.05,273.5,2024-03-21,178.6,2024-10-31,-15.76,458.2,2021-09-24,18.0,2001-03-12,797.0,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947
CRM,342.0,0.84,2.86,2.69,2024-11-26,342.0,218.0,320.5,298.0,276.8,70.1,8.5,2.49,0,0,342.0,2024-11-26,339.0,2024-11-25,0.84,342.0,2024-11-22,294.8,2024-11-01,16.03,342.0,2024-11-22,218.0,2024-05-30,33.5,342.0,2024-11-22,2.4,2004-08-13,7852.0,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999
CRWD,361.8,-0.56,-2.03,3.2,2024-11-26,392.2,212.4,334.5,311.8,312.2,66.5,11.62,3.21,0,0,363.8,2024-11-25,361.8,2024-11-26,-0.56,372.2,2024-11-22,299.0,2024-11-04,19.31,392.2,2024-07-01,217.9,2024-08-02,46.47,392.2,2024-07-01,33.0,2020-03-16,523.5,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,1535527,2011
CSCO,58.75,0.32,0.19,52.38,2024-11-25,59.2,44.75,,,,66.44,0.94,,0,0,58.75,2024-11-25,58.75,2024-11-25,0.0,59.2,2024-11-13,55.5,2024-11-01,5.84,59.2,2024-11-13,44.75,2024-08-05,16.3,80.06,2000-03-27,0.07,1990-10-10,inf,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984
CSGP,79.75,-0.69,-0.55,0.85,2024-11-26,97.75,71.25,75.3,75.6,80.6,60.66,2.31,2.9,0,0,80.25,2024-11-25,79.75,2024-11-26,-0.69,80.25,2024-11-25,71.25,2024-11-15,9.97,97.75,2024-03-21,71.25,2024-11-15,-6.7,99.75,2021-10-26,0.55,1998-09-11,8580.0,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987
CSX,36.7,0.18,0.07,4.69,2024-11-26,38.38,31.73,35.16,34.6,34.66,62.12,0.77,2.11,1,0,36.7,2024-11-26,36.62,2024-11-25,0.18,36.88,2024-11-06,33.38,2024-11-04,9.87,38.38,2024-03-04,32.2,2024-06-14,5.96,38.38,2024-03-04,0.34,1982-08-09,9280.0,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980
CTAS,226.8,1.29,2.89,0.68,2024-11-26,226.8,137.2,217.1,211.5,184.4,68.75,3.44,1.52,1,0,226.8,2024-11-26,223.9,2024-11-25,1.29,226.8,2024-11-26,205.6,2024-11-01,10.3,226.8,2024-11-26,144.4,2024-01-05,53.25,226.8,2024-11-26,0.24,1983-08-19,inf,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929
CTLT,60.88,-0.65,-0.4,1.33,2024-11-26,61.28,37.2,59.38,59.84,57.88,63.16,0.62,1.02,0,0,61.28,2024-11-25,60.88,2024-11-26,-0.65,61.28,2024-11-25,58.47,2024-11-05,3.68,61.28,2024-11-25,42.56,2024-01-03,35.16,142.4,2021-09-08,19.84,2014-08-01,204.6,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,1596783,2007
CTRA,26.72,-1.02,-0.27,2.25,2024-11-26,28.52,22.62,25.23,24.52,25.9,63.56,0.63,2.36,0,0,26.98,2024-11-25,26.72,2024-11-26,-1.02,27.62,2024-11-22,22.7,2024-11-01,17.64,28.52,2024-05-31,22.62,2024-09-10,3.99,41.62,2014-02-04,0.86,1992-02-25,1758.0,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989)
CTSH,80.7,0.09,0.07,0.88,2024-11-26,82.3,64.25,78.3,77.1,73.25,59.8,1.56,1.93,1,0,80.7,2024-11-26,80.6,2024-11-25,0.09,82.3,2024-11-13,74.6,2024-11-01,8.16,82.3,2024-11-13,64.25,2024-06-14,8.47,93.1,2022-03-22,0.19,1998-10-08,38620.0,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994
CTVA,63.03,-1.72,-1.1,1.89,2024-11-26,64.1,43.88,59.75,58.97,55.72,63.0,1.57,2.49,0,0,64.1,2024-11-25,63.03,2024-11-26,-1.72,64.1,2024-11-25,55.22,2024-11-15,3.57,64.1,2024-11-25,44.4,2024-01-18,29.8,67.3,2022-12-02,20.73,2020-03-16,117.3,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019
